,id,sentiment_scores,number of reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price,neighbourhood_cleansed
57,248791,0.29905333333333334,75,98.0,10.0,10.0,10.0,10.0,9.0,10.0,$90.00,Uptown
58,257601,0.32296085409252684,281,95.0,9.0,9.0,9.0,10.0,10.0,9.0,$33.00,Loop
59,261509,0.2888727272727273,55,96.0,10.0,10.0,10.0,10.0,10.0,10.0,$149.00,Near North Side
60,264184,0.217,1,100.0,10.0,10.0,10.0,10.0,8.0,10.0,$45.00,Douglas
61,264547,0.2955434782608695,46,98.0,10.0,10.0,10.0,10.0,10.0,10.0,$195.00,Near West Side
62,267646,0.2833398058252428,103,99.0,10.0,10.0,10.0,10.0,10.0,10.0,$88.00,Logan Square
63,272728,0.31850877192982446,171,93.0,9.0,9.0,10.0,10.0,8.0,9.0,$40.00,Chatham
64,274784,0.32733333333333325,27,89.0,9.0,8.0,9.0,10.0,10.0,9.0,$65.00,Lake View
65,287539,0.3069925373134328,134,95.0,9.0,9.0,10.0,10.0,9.0,9.0,$65.00,West Town
66,289884,0.3082131147540984,61,96.0,10.0,9.0,10.0,10.0,9.0,9.0,$75.00,West Town
67,290155,0.3267,10,96.0,10.0,10.0,10.0,10.0,9.0,10.0,$160.00,Bridgeport
68,306169,0.3244022988505746,87,96.0,10.0,10.0,10.0,10.0,9.0,9.0,$85.00,Near West Side
69,308331,0.3415714285714286,7,100.0,10.0,10.0,10.0,10.0,10.0,10.0,$65.00,Edgewater
70,312192,0.2121666666666667,6,89.0,9.0,10.0,10.0,10.0,9.0,9.0,$140.00,Bridgeport
71,313227,0.26721428571428574,42,98.0,10.0,10.0,10.0,10.0,9.0,10.0,$85.00,Albany Park
72,325842,0.2596086956521739,23,98.0,10.0,10.0,10.0,10.0,10.0,10.0,$379.00,Lincoln Park
73,339298,0.3096075949367089,79,97.0,10.0,10.0,10.0,10.0,9.0,10.0,$175.00,West Town
74,345075,0.32225,160,99.0,10.0,10.0,10.0,10.0,10.0,10.0,$85.00,Kenwood
75,349265,0.27614285714285713,7,100.0,9.0,9.0,9.0,10.0,9.0,10.0,$375.00,Hyde Park
76,350347,0.28409246575342456,292,98.0,10.0,10.0,10.0,10.0,10.0,10.0,$185.00,Lake View
77,372929,0.3127857142857143,126,95.0,10.0,9.0,10.0,10.0,9.0,9.0,$295.00,West Town
78,387336,0.2720238095238094,42,90.0,10.0,9.0,9.0,9.0,9.0,9.0,$240.00,Lincoln Park
79,397472,0.2806666666666667,162,87.0,9.0,8.0,9.0,9.0,9.0,9.0,$65.00,Rogers Park
80,404792,0.30596212121212113,132,90.0,9.0,9.0,10.0,10.0,9.0,9.0,$130.00,West Town
81,408267,0.30697368421052634,38,98.0,10.0,10.0,10.0,10.0,10.0,10.0,$45.00,Rogers Park
82,408268,0.3183191489361702,47,98.0,10.0,10.0,10.0,10.0,9.0,10.0,$45.00,Rogers Park
83,412182,0.30932812499999995,64,97.0,10.0,10.0,10.0,10.0,10.0,10.0,$119.00,Logan Square
84,415547,0.33213761467889913,109,95.0,9.0,9.0,10.0,10.0,10.0,9.0,$92.00,Lincoln Park
85,420422,0.3390714285714286,14,96.0,9.0,9.0,9.0,9.0,10.0,10.0,$70.00,Lake View
86,422214,0.30643678160919546,87,98.0,10.0,10.0,10.0,10.0,9.0,10.0,$250.00,West Town
87,438850,0.3107702702702702,148,95.0,9.0,9.0,10.0,10.0,10.0,10.0,$29.00,Loop
88,446474,0.35675,4,95.0,10.0,9.0,10.0,10.0,9.0,10.0,$175.00,West Town
89,464581,0.3019551122194513,401,96.0,10.0,9.0,10.0,10.0,9.0,10.0,$55.00,Logan Square
90,479086,0.3500761904761904,105,93.0,9.0,8.0,9.0,9.0,9.0,9.0,$15.00,Avondale
91,479402,0.2815922330097087,103,91.0,9.0,9.0,10.0,10.0,8.0,9.0,$75.00,Lower West Side
92,482486,0.3311409395973154,298,95.0,10.0,10.0,10.0,9.0,9.0,10.0,$60.00,Edgewater
93,484898,0.340909090909091,11,95.0,10.0,9.0,10.0,10.0,10.0,10.0,$225.00,Uptown
94,486736,0.291108108108108,74,97.0,10.0,10.0,10.0,10.0,9.0,9.0,$49.00,Humboldt Park
95,488097,0.37966666666666665,3,95.0,10.0,10.0,10.0,10.0,10.0,10.0,$60.00,West Town
96,496809,0.2837586206896552,29,99.0,10.0,10.0,10.0,10.0,9.0,10.0,$72.00,Rogers Park
97,504564,0.3484576271186441,236,97.0,10.0,10.0,10.0,10.0,9.0,10.0,$65.00,Rogers Park
98,507517,0.30279661016949166,177,97.0,10.0,10.0,10.0,10.0,10.0,10.0,$100.00,Lincoln Square
99,533831,0.23363414634146343,41,89.0,9.0,9.0,10.0,9.0,10.0,9.0,$290.00,Lincoln Park
100,541535,0.22986666666666666,15,91.0,10.0,9.0,10.0,9.0,9.0,9.0,$65.00,West Town
101,542067,0.3001807909604521,177,97.0,10.0,10.0,10.0,10.0,10.0,10.0,$140.00,Logan Square
102,555140,0.28729323308270677,133,95.0,10.0,10.0,10.0,10.0,9.0,9.0,$115.00,West Town
103,584590,0.2408,35,88.0,9.0,8.0,9.0,9.0,9.0,9.0,$75.00,Lincoln Square
104,585353,0.26719298245614037,57,89.0,8.0,8.0,9.0,10.0,9.0,8.0,$49.00,West Town
105,585356,0.27711363636363634,44,90.0,9.0,8.0,10.0,10.0,9.0,8.0,$74.00,West Town
106,585510,0.330450819672131,244,99.0,10.0,10.0,10.0,10.0,10.0,10.0,$124.00,Lincoln Park
107,589871,0.2786666666666667,6,97.0,10.0,10.0,10.0,10.0,10.0,9.0,$225.00,Forest Glen
108,589939,0.30340000000000017,35,89.0,8.0,9.0,10.0,10.0,9.0,8.0,$46.00,West Town
109,594627,0.29579999999999995,10,100.0,10.0,10.0,10.0,10.0,10.0,10.0,$175.00,Lake View
110,602854,0.2687727272727273,22,95.0,9.0,9.0,9.0,10.0,10.0,9.0,$250.00,Loop
111,607502,0.31013970588235296,136,92.0,9.0,9.0,10.0,10.0,9.0,9.0,$50.00,Near West Side
